Pillar,Initiatives/Project,Customer/Business Problem Statement,MLP / Parity / Differentiation,KPIs/OKRs,"Priority 
(A, B, C)","Incept/Build in Quarter
(Q2/Q3/Q4)","Desired Launch
 Quarter
(Q2/Q3/Q4)","Inception Ready?
(Y/N)",Driving Team,Dependent Team,Overall Initaitive Sizing (Q3/Q4),Martech,Communications,UX,AdTech,CPG Media,Traffic Innovation (Project X),PZN,ShopCX- INTERNAL USE ONLY,ShopCX - UI Platform,ShopCX- Pharmacy,ShopCX- Land & Nav,ShopCX - Unified Search,ShopCX-Search&Browse,Exp & Opt (Target),Cart & Checkout,UMA,Tax,Catalog,UX.1,UCA,"
DigitalLabs",EPE,Offer Management,Offer Redemption,Payments,Omnichannel,Digital Order Management System (DOMS),MFC,Acupick,Transportation Services,Pickup Experience,VPOS,Demand Planning,Store Mobility,OSS,Subscription,Rewards,Auto Replenishment,J4U_Clipping/Instant Allocation,Partnership Rewards,"Customer Self Service (Web/Mobile)- (IVR, Chat, social media)",CS Analytics,ECHO,CRM Salesforce,Digital Trust & safety,Functional FAQs,Data Engineering,CDP,Analytics,Data Science,Retail / POS,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80
Shopper Experience,"SEO Automated Tests // The sitewide header is a great source to drive SEO traffic towards Category and Seasonal pages. Today the header links are generated client side and thus do not drive mmuch SEO value. Changes are required so that headers and links on the header are drawn serverside to increase link visibility to SEO bots. Also multiple level of Aisle page links need to be hosted on the header, potentially through the use of flyouts.","We have several SEO capabilities that are built into our E-Commerce banner sites. These capabilities have a large business value as they allow Search Engines to crawl our sites, add site links into their Search Engine indexes and serve the links as part of Search Engine Result Pages (SERP). SEO site features thus become invaluable in terms of driving customers to our E-Commerce sites. 

Given the business importance of the SEO features on the site it is paramount that we enhance testing practices and automation to regularly test and monitor these features.",Parity,"- Prevent losses, penalties, and catch issues before they cost us traffic due to search engines downscoring us. - As well, this should result in a 7% increase in total impressions and 3% increase in total traffic as a low end estimate. Note - This speaks to TOTAL impressions and traffic vs a specific page set.",A,Q2,Q2,No ,Landing & Nav,,,,,,,,,,X,,X,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,All Site Pages - Server side header and Header Updates // H1 header tags are currently controlled by AEM and require constant manual updates. - H1 tags that match the title and description metadata ensure stronger rankings for every page. - Lowering the pixel size to 1x1 ensures every page will have these without intruding on design and user experience. - Reduce user error. - Reduce manual labor.,Business Problem Statement - The sitewide header today is drawn on the client side thus not driving much SEO value. Changes need to be made so the header links are included serverside to increase their SEO value,Parity,Impressions were 11% and visits were projected at 6% (TOTAL) and not just specific page sets.,A,Q3,Q3,No ,Landing & Nav,,L,,,,,,,,X,S,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"All Site Pages - Metatag Updates - H tags, title, description // Although it’s not the most critical ranking factor, having correctly optimized product URLs is recommended for several reasons.

It’s easier for search engines to understand
It’s easier for users to understand
It’s useful for readability purposes, especially in cases when you (or someone else) posts a URL of your products in a forum or a comment.
For example:

It’s easier to understand that this URL:

https://www.safeway.com/shop/red-bull-energy-drink-12-84-fl-oz/product-details.108100166.html

will lead to a product page about a Red Bull Energy drink than this:

https://www.safeway.com/shop/product-details.108100166.html     https://confluence.safeway.com/display/SCX/SEO+Contextual+PDP+URL+Assembly","Business Problem Statement - AEM currently is where h1 tags are placed on pages. Currently, this is manual. As well, some h1 tags break design elements on pages. Not having h1 tags or having them listed as ""hidden"" as we currently do downscore and even draw cloaking penalties from Google.",Parity,Prevent penalization of our pages where the current hidden tag is a Google violation. - Ensure targeted H1 tags which will improve SEO ranking on every page.,A,Q2-Q3,Q3,No ,Landing & Nav,,M,,,,,,,,X,S,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,PDP Pages - Contextual PDP URL assembly // The majority of retail sites have html sitemaps. This is usually a page liked to in the sitewide footer that leads to a page that has hyperlinks of important pages such as Aisles. This mainly plugs SEO strength from the number of anchored links across the footer to the main pages such as aisle and the brand index we are building. ,"Product Detail pages have the highest counts among on all pages on our site. As such they hold a log of value from an SEO organic traffic driving potential. Our PDP page URL today follows the below format where the purpose / identity of the page is not very clear from the URL.

PDP URL Format: https://www.safeway.com/shop/product-details.<BPN>.html",Parity,- Having url assembly that better matches the actual product will increase PDP impressions by 10-12% - This should also increase SEO clicks by 3%-7%,B,Q3,Q3,No ,Landing & Nav,,L,,,,,,,,X,M,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Sitewide Footer Link /HTML Sitemaps // The recipe pages offer a huge boon for SEO traffic as they are not SEO optimized need schema markups that dentote to Google that this is a recipe. Schema markups will help search when people are searching for recipes. In other words, the markup greatly increases the chance Google will index these pages higher. As well, FAQ on these pages and all LP's are another large SEO opportunity as Google favors question based search and pages that have FAQ on them.","We do not have an html sitemap and therefore are not casting SEO voting power or placing importance on main category / aisle pages. As well, this makes it harder for us to force bots into the site to crawl pages such as pharmacy. This is especially important because our existing navigation is Javascript and does not cast SEO voting strength into any of our category pages.",Parity,- Having real html links to our main pages will lift our impressions by 8% and our clicks by 4%.,A,Q3,Q3,No ,Landing & Nav,,M,,,,,,,,X,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,FAQ and Recipe Schema markups // Our aisle page taxonomy id issues have caused products to appear on aisle URLS that do not fit them properly. This is creating urls that don't match the products on the pages at all. ,The existing recipe pages have no SEO optimization or schema markups or FAQ. This greatly reduces their chances of ranking in Google or social media searches.,Parity,- Having schema markp and faq on these pages should raise impressions on the recipe pages by 2000% and should increase clicks by no less than 200% on recipe pages.,B,Q4,Q4,No ,Landing & Nav,,L,,,,,,,,X,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Search & Aisle Taxonomy updates // All suggestions made WoW by Merkle are chronicled here and are the items they feel are most heavily impacting SEO. As well, these items represent issues that need to be corrected or potential wins.","Customer Problem Statement:
Browse customers are unable to find the products they are looking for within the current taxonomy hierarchy (aisles and shelves). 

Business Problem Statement:
Merchandising team is unable to strategically update aisles based on assortment, category expertise and CDT; Updating taxonomy also helps increase SEO value. ",Parity,- This is more about not losing credibility in Google with these types of poorly fitting links. - Correcting this would prevent us from losing 3% of our traffic on Aisle pages and would likely result in us gaining another 3%.,A,Q4,Q4,No ,Landing & Nav,,L,,,,,,,,X,S,X,S,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Merkle Vendor Reccomendations // Data from various sources (Syndigo, vestcome, Label Insights etc) will be collected and stored in a central repository (EDM)",https://jira.safeway.com/browse/SXP-2456,Parity,Merkle's suggestions should lift our overall impressions by 18% and overall traffic by 10%,A,Q2-Q4,Q2-Q4,No ,Landing & Nav,,M,,,,,,,,X,?,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Instore -Digital parity with health claims(Gluten free, organic) and other attributes // TBD",This feature will help create parity between Instore and Online health claims,Parity  ,Parity between Instore- Online health claims attributes,,Q3-Q4,Q4,N ,Digital Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,HSA/FSA // nan,"FSA- and HSA-eligible products such as contact lenses, first aid supplies and sun care can be paid for in store or online with your FSA or HSA card.

With the passing of the 2020 CARES Act, many new items and categories are now eligible without a prescription, including cough and cold, allergy and sinus and more. Contact your FSA administrator for more information.",Parity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
